stateData,cases,discharged,deaths,helpline,countryData__localTotal,countryData__intTotal,countryData__total,countryData__cured_dischargedTotal,countryData__deathsTotal
Andhra Pradesh,3,0,0,8662410978,141,25,166,15,3
Arunachal Pradesh,0,0,0,9436055743,,,,,
Assam,0,0,0,6913347770,,,,,
Bihar,0,0,0,104,,,,,
Chhattisgarh,1,0,0,077122-35091,,,,,
Goa,0,0,0,104,,,,,
Gujarat,2,0,0,104,,,,,
Haryana,17,0,0,8558893911,,,,,
Himachal Pradesh,0,0,0,104,,,,,
Jharkhand,0,0,0,104,,,,,
Karnataka,15,0,1,104,,,,,
Kerala,28,3,0,0471-2552056,,,,,
Madhya Pradesh,0,0,0,0755-2527177,,,,,
Maharashtra,49,0,1,020-26127394,,,,,
Manipur,0,0,0,3852411668,,,,,
Meghalaya,0,0,0,108,,,,,
Mizoram,0,0,0,102,,,,,
Nagaland,0,0,0,7005539653,,,,,
Odisha,2,0,0,9439994859,,,,,
Punjab,2,0,1,104,,,,,
Rajasthan,9,3,0,0141-2225624,,,,,
Sikkim,0,0,0,104,,,,,
Tamil Nadu,3,1,0,044-29510500,,,,,
Telangana,16,1,0,104,,,,,
Tripura,0,0,0,0381-2315879,,,,,
Uttarakhand,3,0,0,104,,,,,
Uttar Pradesh,20,9,0,18001805145,,,,,
West Bengal,1,0,0,3323412600,,,,,
Andaman and Nicobar Islands,0,0,0,03192-232102,,,,,
Union Territory of Chandigarh,1,0,0,9779558282,,,,,
Dadra and Nagar Haveli and Daman & Diu,0,0,0,104,,,,,
Delhi,14,3,1,011-22307154,,,,,
Union Territory of Jammu and Kashmir,4,0,0,"1912520982 (Jammu), 1942440283 (Kashmir) ",,,,,
Union Territory of Ladakh,8,0,0,1982256462,,,,,
Lakshadweep,0,0,0,104,,,,,
Puducherry,1,0,0,104,,,,,
