country_code,country,province,LAT,LON
IN,India,Andaman And Nicobar Islands,11.66702557,92.73598262
IN,India,Andhra Pradesh,14.7504291,78.57002559
IN,India,Arunachal Pradesh,27.10039878,93.61660071
IN,India,Assam,26.7499809,94.21666744
IN,India,Bihar,25.78541445,87.4799727
IN,India,Chandigarh,30.71999697,76.78000565
IN,India,Chhattisgarh,22.09042035,82.15998734
IN,India,Dadra and Nagar Haveli and Daman & Diu,20.26657819,73.0166178
IN,India,Delhi,28.6699929,77.23000403
IN,India,Goa,15.491997,73.81800065
IN,India,Gujarat,23.158831,70.753408
IN,India,Haryana,28.45000633,77.01999101
IN,India,Himachal Pradesh,31.10002545,77.16659704
IN,India,Union Territory of Jammu and Kashmir,34.29995933,74.46665849
IN,India,Jharkhand,23.80039349,86.41998572
IN,India,Karnataka,12.57038129,76.91999711
IN,India,Kerala,8.900372741,76.56999263
IN,India,Lakshadweep,10.56257331,72.63686717
IN,India,Madhya Pradesh,21.30039105,76.13001949
IN,India,Maharashtra,19.25023195,73.16017493
IN,India,Manipur,24.79997072,93.95001705
IN,India,Meghalaya,25.57049217,91.8800142
IN,India,Mizoram,23.71039899,92.72001461
IN,India,Nagaland,25.6669979,94.11657019
IN,India,Odisha,19.82042971,85.90001746
IN,India,Puducherry,11.93499371,79.83000037
IN,India,Punjab,31.51997398,75.98000281
IN,India,Rajasthan,26.44999921,74.63998124
IN,India,Sikkim,27.3333303,88.6166475
IN,India,Tamil Nadu,12.92038576,79.15004187
IN,India,Tripura,23.83540428,91.27999914
IN,India,Uttar Pradesh,27.59998069,78.05000565
IN,India,Uttaranchal,30.32040895,78.05000565
IN,India,West Bengal,22.58039044,88.32994665
IN,India,Union Territory of Ladakh,34.2996176,78.2909766
IN,India,Telengana,17.697963,78.920226
IN,India,Uttarakhand,30.230923,79.109923
